physical_quantity,power
type,active
2023-08-01 00:00:03,0.052729
2023-08-01 00:00:05,0.053102
2023-08-01 00:00:07,0.052937
2023-08-01 00:00:09,0.052926
2023-08-01 00:00:10,0.053356
2023-08-01 00:00:13,0.052653
2023-08-01 00:00:14,0.052348
2023-08-01 00:00:16,0.052799
2023-08-01 00:00:18,0.053128
2023-08-01 00:00:20,0.053241
2023-08-01 00:00:22,0.052818
2023-08-01 00:00:24,0.052106
2023-08-01 00:00:25,0.05215
2023-08-01 00:00:28,0.053047
2023-08-01 00:00:29,0.052794
2023-08-01 00:00:32,0.052238
2023-08-01 00:00:33,0.051994
2023-08-01 00:00:35,0.052494
2023-08-01 00:00:37,0.052736
2023-08-01 00:00:39,0.05248
2023-08-01 00:00:40,0.052371
2023-08-01 00:00:43,0.052268
2023-08-01 00:00:44,0.052354
2023-08-01 00:00:47,0.052598
2023-08-01 00:00:48,0.052253
2023-08-01 00:00:50,0.052622
2023-08-01 00:00:52,0.051868
2023-08-01 00:00:54,0.052491
2023-08-01 00:00:55,0.052523
2023-08-01 00:00:58,0.052583
2023-08-01 00:00:59,0.052488
2023-08-01 00:01:02,0.051995
2023-08-01 00:01:03,0.052066
2023-08-01 00:01:05,0.052775
2023-08-01 00:01:07,0.052596
2023-08-01 00:01:09,0.052524
2023-08-01 00:01:10,0.052625
2023-08-01 00:01:13,0.052314
2023-08-01 00:01:14,0.052047
2023-08-01 00:01:17,0.052322
2023-08-01 00:01:18,0.052351
2023-08-01 00:01:20,0.052414
2023-08-01 00:01:22,0.052315
2023-08-01 00:01:24,0.052679
2023-08-01 00:01:25,0.052774
2023-08-01 00:01:28,0.0524
2023-08-01 00:01:29,0.052283
2023-08-01 00:01:32,0.052428
2023-08-01 00:01:33,0.052596
2023-08-01 00:01:35,0.052681
2023-08-01 00:01:37,0.05242
2023-08-01 00:01:39,0.052168
2023-08-01 00:01:41,0.051974
2023-08-01 00:01:43,0.051879
2023-08-01 00:01:44,0.052314
2023-08-01 00:01:47,0.052562
2023-08-01 00:01:48,0.052778
2023-08-01 00:01:51,0.05266
2023-08-01 00:01:52,0.052344
2023-08-01 00:01:54,0.052458
2023-08-01 00:01:56,0.05212
2023-08-01 00:01:58,0.051894
2023-08-01 00:01:59,0.052087
2023-08-01 00:02:02,0.052409
2023-08-01 00:02:03,0.052446
2023-08-01 00:02:06,0.053339
2023-08-01 00:02:07,0.052976
2023-08-01 00:02:10,0.052784
2023-08-01 00:02:11,0.052602
2023-08-01 00:02:13,0.05193
2023-08-01 00:02:15,0.051888
2023-08-01 00:02:17,0.052609
2023-08-01 00:02:19,0.052711
2023-08-01 00:02:21,0.052587
2023-08-01 00:02:22,0.052667
2023-08-01 00:02:25,0.052705
2023-08-01 00:02:26,0.05284
2023-08-01 00:02:29,0.052575
2023-08-01 00:02:30,0.052722
2023-08-01 00:02:32,0.052738
2023-08-01 00:02:34,0.052516
2023-08-01 00:02:36,0.052217
2023-08-01 00:02:38,0.052468
2023-08-01 00:02:40,0.052334
2023-08-01 00:02:41,0.05241
2023-08-01 00:02:44,0.052682
2023-08-01 00:02:45,0.052789
2023-08-01 00:02:48,0.052766
2023-08-01 00:02:49,0.052635
2023-08-01 00:02:51,0.05237
2023-08-01 00:02:53,0.052112
2023-08-01 00:02:55,0.052716
2023-08-01 00:02:57,0.052846
2023-08-01 00:02:59,0.05258
2023-08-01 00:03:00,0.052751
2023-08-01 00:03:03,0.052666
2023-08-01 00:03:04,0.052708
2023-08-01 00:03:07,0.052942
2023-08-01 00:03:08,0.052911
2023-08-01 00:03:11,0.053317
2023-08-01 00:03:12,0.052376
2023-08-01 00:03:14,0.052488
2023-08-01 00:03:16,0.052625
2023-08-01 00:03:18,0.052757
2023-08-01 00:03:20,0.052613
2023-08-01 00:03:22,0.052655
2023-08-01 00:03:23,0.052655
2023-08-01 00:03:26,0.0527
2023-08-01 00:03:27,0.052753
2023-08-01 00:03:30,0.052829
2023-08-01 00:03:31,0.052933
2023-08-01 00:03:33,0.05264
2023-08-01 00:03:35,0.052454
2023-08-01 00:03:37,0.052585
2023-08-01 00:03:39,0.052359
2023-08-01 00:03:41,0.052232
2023-08-01 00:03:42,0.052493
2023-08-01 00:03:45,0.052637
2023-08-01 00:03:46,0.052827
2023-08-01 00:03:49,0.052916
2023-08-01 00:03:50,0.052933
2023-08-01 00:03:52,0.053039
2023-08-01 00:03:54,0.052935
2023-08-01 00:03:56,0.05277
2023-08-01 00:03:57,0.052939
2023-08-01 00:04:00,0.052884
2023-08-01 00:04:01,0.052599
2023-08-01 00:04:04,0.052341
2023-08-01 00:04:05,0.052486
2023-08-01 00:04:08,0.053118
2023-08-01 00:04:09,0.052663
2023-08-01 00:04:11,0.05321
2023-08-01 00:04:13,0.05284
2023-08-01 00:04:15,0.052734
2023-08-01 00:04:17,0.052818
2023-08-01 00:04:19,0.053045
2023-08-01 00:04:20,0.052684
2023-08-01 00:04:23,0.052703
2023-08-01 00:04:24,0.052602
2023-08-01 00:04:27,0.052216
2023-08-01 00:04:28,0.05221
